project_id,ngo_id,staff_id,name,description,start_date,end_date,budget
1,18,396,Solar Panel Distribution,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2021-11-07,2024-08-07,95294411
2,3,123,Blood Donation Campaign,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2019-09-16,2022-09-16,89110650
3,13,120,Community Garden Development,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2022-09-18,2024-04-18,44120390
4,18,126,Anti-Corruption Advocacy,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-12-03,2022-03-03,50521922
5,19,133,Maternal Health Improvement,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2023-09-03,2026-12-03,24126404
6,20,83,Environmental Conservation,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2024-11-15,2026-02-15,43757052
7,16,140,Maternal Health Improvement,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2021-07-08,2023-11-08,70376942
8,19,249,School Renovation Campaign,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-03-01,2026-06-01,12147686
9,7,107,Neighborhood Safety,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2022-07-17,2024-06-17,30413193
10,11,68,Public Health Screening,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-04-09,2020-07-09,84132321
11,13,400,Library Modernization,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2019-11-16,2020-08-16,93547135
12,3,200,Housing for Homeless,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2018-11-12,2022-01-12,48643901
13,2,119,Family Planning Education,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2022-09-20,2024-02-20,3680659
14,16,392,Renewable Energy Research,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2024-11-25,2027-03-25,28323383
15,1,69,Trade Skills Development,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2024-02-08,2027-06-08,66253897
16,12,308,Sports for Youth,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2022-05-19,2025-07-19,58862271
17,7,325,Child Protection Services,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2023-09-24,2025-07-24,57456750
18,13,95,Child Nutrition Enhancement,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2018-10-16,2021-01-16,65696894
19,13,44,Food Security Enhancement,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2020-05-12,2020-12-12,77847933
20,20,6,Immigration Support,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2019-11-11,2021-03-11,89052630
21,13,130,Disability Support Services,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2019-11-15,2021-01-15,86718879
22,7,400,Public Health Screening,"A comprehensive initiative designed to empower vulnerable populations through education, training, and resource provision while promoting long-term self-sufficiency.",2023-08-11,2026-03-11,33346834
23,1,377,Cultural Heritage Preservation,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2024-02-27,2025-03-27,56408321
24,18,229,Sustainable Tourism Development,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2022-08-19,2024-01-19,64164278
25,2,221,Transparency Initiative,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2018-03-24,2019-12-24,37216251
26,10,23,Blood Donation Campaign,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2020-07-20,2022-01-20,18274723
27,13,218,Agricultural Technology Training,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2021-06-13,2024-06-13,71680386
28,17,163,Trade Skills Development,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2019-09-08,2022-01-08,98380736
29,1,127,Agricultural Technology Training,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2024-01-15,2025-05-15,97864354
30,5,153,Trade Skills Development,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2021-08-28,2024-03-28,79168022
31,13,237,Solar Panel Distribution,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2023-03-03,2025-09-03,31740560
32,8,301,Legal Aid Services,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2022-06-05,2024-02-05,37626868
33,9,372,Agricultural Technology Training,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2019-08-24,2021-10-24,39136327
34,16,77,Financial Literacy Training,"Community-driven project focused on building local capacity, strengthening institutions, and fostering inclusive development practices.",2019-07-17,2021-05-17,16944151
35,7,227,Emergency Relief Response,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2021-03-19,2022-11-19,42043874
36,17,393,Sustainable Tourism Development,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2019-03-22,2021-02-22,88877545
37,15,144,Disability Support Services,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2020-09-28,2023-02-28,3522544
38,8,96,Sports for Youth,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2018-12-19,2020-12-19,27986003
39,1,242,Sports for Youth,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2020-02-06,2023-02-06,59081135
40,12,361,Food Security Enhancement,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2024-03-21,2024-09-21,42964621
41,15,324,Urban Agriculture,Collaborative initiative bringing together stakeholders to address pressing social needs through coordinated action and resource mobilization.,2020-03-17,2020-09-17,41374482
42,8,180,Maternal Health Improvement,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2024-05-11,2027-03-11,76013417
43,3,255,Climate Change Adaptation,"Integrated approach to community development combining awareness campaigns, skills training, and infrastructure improvements for lasting impact.",2021-11-27,2023-01-27,65489584
44,7,150,Trade Skills Development,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2019-02-01,2021-02-01,5513564
45,16,108,Gender Equality Advocacy,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-12-14,2023-09-14,5573949
46,18,50,Blood Donation Campaign,This project aims to improve access to essential services for underserved communities through sustainable infrastructure development and capacity building.,2020-06-20,2021-02-20,56202695
47,9,282,Gender Equality Advocacy,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2019-05-13,2020-06-13,45614095
48,16,47,Mental Health Awareness,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2023-10-09,2026-07-09,48156897
49,7,169,Family Planning Education,"Transformative program designed to create sustainable change through education, empowerment, and the provision of essential services.",2019-09-08,2021-04-08,69432686
50,4,296,Urban Agriculture,"Multi-faceted project addressing systemic issues through grassroots mobilization, institutional strengthening, and innovative solution implementation.",2024-01-06,2025-06-06,83161132
51,13,303,Climate Change Adaptation Phase 1,Comprehensive intervention addressing multiple dimensions of social welfare through targeted programming and strategic partnerships.,2023-07-18,2024-11-18,78858057
52,1,233,Family Planning Education Phase 1,"Focused on addressing critical social challenges through community engagement, advocacy, and the implementation of evidence-based interventions.",2020-11-03,2022-04-03,55013971
53,6,255,Rural Healthcare Expansion Phase 1,"Strategic program to enhance the quality of life for beneficiaries through direct service delivery, policy advocacy, and partnership development.",2020-04-27,2021-06-27,48936730
