event_id,project_id,name,event_date,location,description
1,249,Environmental Film Screening,2020-10-01,"Convention Center, Almaty","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
2,224,Cultural Festival,2024-10-21,"Community Center, Semey","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
3,229,Art Exhibition,2020-08-10,"University Auditorium, Shymkent","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
4,213,Emergency Response Training,2021-05-05,"Cultural Center, Kyzylorda","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
5,176,Legal Aid Clinic,2023-11-20,"Town Square, Shymkent","A public event bringing together beneficiaries, volunteers, and supporters to celebrate achievements and mobilize resources."
6,47,Educational Seminar,2022-09-23,"Sports Complex, Shymkent","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
7,40,Legal Aid Clinic,2023-07-08,"Cultural Center, Petropavl","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
8,84,Charity Concert,2020-06-17,"Convention Center, Petropavl","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
9,205,Children's Day Celebration,2021-12-02,"Community Center, Oral","A strategic engagement opportunity to connect with stakeholders, showcase program results, and strengthen partnerships."
10,25,Blood Donation Drive,2022-05-10,"NGO Office, Kostanay","A collaborative event fostering innovation, sharing best practices, and strengthening the social impact ecosystem."
11,59,Fundraising Gala,2022-03-01,"Town Square, Petropavl","A celebratory gathering recognizing contributions, honoring achievements, and reinforcing organizational values."
12,49,Book Donation Drive,2020-11-23,"Public Park, Kostanay","A mobilization activity aimed at generating support, raising funds, and increasing public awareness of critical issues."
13,205,Renewable Energy Exhibition,2020-03-18,"Conference Hall, Oral","A participatory event designed to empower attendees through training, resource provision, and networking opportunities."
14,66,Financial Literacy Seminar,2022-01-02,"Sports Complex, Pavlodar","An outreach activity focused on service delivery, information dissemination, and building relationships with target populations."
15,24,Blood Donation Drive,2024-10-08,"Conference Hall, Kyzylorda","An interactive session designed to educate participants, build capacity, and foster collaboration among community members."
